DATA_SET_ID,FILE_SPECIFICATION_NAME,PRODUCT_ID,VOLUME_ID,PRODUCT_CREATION_TIME,START_TIME,STOP_TIME,EXPOSURE_DURATION,INSTRUMENT_ID,image_filename,download_url,file_type,phase_subdir,filter_id
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001913_11123134631F1B.IMG,1913,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:46:31.154,2011-123T13:46:31.358,9.000 <millisecond>,FC2,FC21B0001913_11123134631F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001913_11123134631F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001913_11123134631F1B.LBL,1913,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:46:31.154,2011-123T13:46:31.358,9.000 <millisecond>,FC2,FC21B0001913_11123134631F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001913_11123134631F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001914_11123134716F1B.IMG,1914,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:47:16.486,2011-123T13:47:18.182,1500.000 <millisecond>,FC2,FC21B0001914_11123134716F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001914_11123134716F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001914_11123134716F1B.LBL,1914,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:47:16.486,2011-123T13:47:18.182,1500.000 <millisecond>,FC2,FC21B0001914_11123134716F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001914_11123134716F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001915_11123134801F1B.IMG,1915,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:48:01.170,2011-123T13:48:01.373,9.000 <millisecond>,FC2,FC21B0001915_11123134801F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001915_11123134801F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001915_11123134801F1B.LBL,1915,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:48:01.170,2011-123T13:48:01.373,9.000 <millisecond>,FC2,FC21B0001915_11123134801F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001915_11123134801F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001916_11123134846F1B.IMG,1916,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:48:46.186,2011-123T13:48:47.881,1500.000 <millisecond>,FC2,FC21B0001916_11123134846F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001916_11123134846F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001916_11123134846F1B.LBL,1916,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:48:46.186,2011-123T13:48:47.881,1500.000 <millisecond>,FC2,FC21B0001916_11123134846F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001916_11123134846F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001917_11123134931F1B.IMG,1917,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:49:31.178,2011-123T13:49:31.381,9.000 <millisecond>,FC2,FC21B0001917_11123134931F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001917_11123134931F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001917_11123134931F1B.LBL,1917,DWNVFC2_1B,2013-10-30T14:28:45.000,2011-123T13:49:31.178,2011-123T13:49:31.381,9.000 <millisecond>,FC2,FC21B0001917_11123134931F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001917_11123134931F1B.LBL,LBL,approach,F1
